experience,education,skills
"Technical Architect, Technical SME-IT",B.Sc.  ( Science )  ,"Planning/Organizing, Management Proficiency, Communication Proficiency,
C, c++, VC++ ( MFC, SDK ), com / atl, Unix, iis web server, Oracle PL SQL Developer, Iot, Python
"
"R & D Engineer, R & D Engineer",BE /  B.Tech  ( Engineering )  ,"Planning/Organizing, Training/Mentoring, Management Proficiency,
c, c++, java, unix ( internals ), sql, Perl, Python, Data Structures, Algorithm, bigdata, Mapreduce, hadoop, c++11
"
"Tech Lead, CFD Engineer","ME /  M.Tech. /  MS  ( Engg /  Sciences ) 
                  	
	                  	
	                       		2013
	                    
                    	","Technical Proficiency, Planning/Organizing, Communication Proficiency,
C, c++, Java, Linux, WINDOWS, catia, cfx, solidworks, autocad, Application Programming, Simulation, flow-3d, Python, ensight, Rhino, Shell scripting, Linux Shell Scripting
"
Technical Lead,"BCA  ( Computer Application )  , MCA /  PGDCA
                  	
	                  	
	                       		2008
	                    
                    	","
c++, data structure, fix, trading, Multithreading, Socket Programming, Python, Shell Scripting, Linux, C, Oracle, low latency trading programming, front office system, modern c++, data structure and algorithm, multithreading
"
"Senior Tech Lead, Senior Tech Lead","B.com.  ( Commerce )  , MCA /  PGDCA
                  	
	                  	
	                       		2005
	                    
                    	","
agile, apache kafka, beyond compare, boost, c, c++, c++ stl, data structure, design patterns, fortify, gcc, gdb, git, ipc, jira tool, multithreading, ooad, ooad c++, shell script, splunk, sql, unix, unix scripting, visual studio, Kafka, c++ 17
"
"Sr. Staff Enginn, Software Specialist",BE /  B.Tech  ( Engineering )  ,"Training/Mentoring, Technical Proficiency, Research Proficiency,
c++, Lte, gnb
"
"c++ Engineer, Software Developer",BE /  B.Tech  ( Engineering )  ,"Planning/Organizing, Training/Mentoring, Technical Proficiency,
c++, sql, Linux, C, Python, VC++ and Developer, Microsoft Windows
"
Sr. Technical Lead,BE /  B.Tech  ( Engineering )  ,"Planning/Organizing, Technical Proficiency, Management Proficiency,
C, c++, Unix, Linux, Data Structure and Algorithms, hp-ux, stl, Perl and Shell, Openstack
"
Trainee software engineer,B.Sc.  ( Science )  ,"
Core Java, C Programming, c++
"
Teaching Assistant,BBA /  BBM /  BBS ,"
c++, Data Structures, Algorithm, Python, HTML, css, JavaScript, git, github, numpy, Sql
"
Software Engineer,BE /  B.Tech  ( Engineering )  ,"Creative Proficiency, Training/Mentoring, Technical Proficiency,
Java, c++, Linux Shell Scripting, Gunit test, python
"
"Consultant, Consultant",BE /  B.Tech  ( Engineering )  ,"Planning/Organizing, Communication Proficiency, Technical Proficiency,
c / c++, unix, microsoft windows, c++, c, linux
"
Corporate Trainer,"B.Ed.  ( Education )  , MCA /  PGDCA
                  	
	                  	
	                       		2006
	                    
                    	","
Advanced Java, Android Development, Java, Python, Java, PHP, c++
"
"Senior Technical Leader, Consultant","BE /  B.Tech  ( Engineering )  , Other Post Graduation
                  	
	                  	
	                       		2017
	                    
                    	","Management Proficiency, Training/Mentoring, Technical Proficiency,
c / c++, multithreading, datastructure, design patterns programming, concurrency, linux, postgres, boost, c++ stl, data analytics, machine learning, object oriented, multi threading, ipc mechanism, Core Java, Python, Hibernate, Reactjs, akka, Play Framework, React, redux, CSS, elastic db, grpc, JavaScript, Typescript, grafana, microservices
"
"Senior software developer, Senior Software Developer",BE /  B.Tech  ( Engineering )  ,"Planning/Organizing, Technical Proficiency, Management Proficiency,
c++, C, Data Structures, Algorithms, Design Patterns, Multithreading, ipc synchronization, Socket Programming, Unix, Valgrind, Git, linux, Red Hat, Unix Shell Scripting, Oracle Sql
"
Fresher,BE /  B.Tech  ( Engineering )  ,"
c, c++, Dbms, MS SQL, Data Structure, Analytical, Management, Problem-solving Skills, Data structure
"
"Senior Analyat, Senior Software Engineer","B.Sc.  ( Science )  , MCA /  PGDCA
                  	
	                  	
	                       		2004
	                    
                    	","Planning/Organizing, Research Proficiency, Communication Proficiency,
UNIX, c++, c, qt, Shell Scripting, Perl and Programming, Python
"
"Team Lead, Senior System Engineer","BE /  B.Tech  ( Engineering )  , ME /  M.Tech. /  MS  ( Engg /  Sciences ) 
                  	
	                  	
	                       		2005
	                    
                    	","Planning/Organizing, Teamwork, Management Proficiency,
SOFTWARE, C, c++, CLEAR CASE, CLEARCASE, LINUX, ORACLE
"
"Manager, manager","B.Sc.  ( Science )  , MCA /  PGDCA
                  	
	                  	
	                       		2001
	                    
                    	","Planning/Organizing, Management Proficiency, Creative Proficiency,
10+ c, c++, unix, ipc, socket, multithread, snmp, bgp, radius ( a.a.a ), Ospf, Icmp, Igmp, DHCP, s.d.n ( software defined network ), cli, netconf, yang, Mpls, Oam, Vlan
"
TRAINER,BE /  B.Tech  ( Engineering )  ,"Planning/Organizing, Technical Proficiency, Communication Proficiency,
c, c++, Java, J2ee, Oracle, Html, Xml, Javascript, Mysql, Php
"
software engineer,BE /  B.Tech  ( Engineering )  ,"
C Programming, c++, Computer, DotNet, Embedded and c++, Patience, Python, Visual Basic, Typescript, JavaScript, Git, Github, Jira, Agile Development, Jenkins, Azure, Oracle and Developer, Node, Node.js, Angular Javascript, Angularjs, Front-end, Front End Developer, Bootstrap, Flex, Ui, Responsive, Responsive Design, Responsive Html, Responsive Web Design, Html, CSS, Css Developer, Css3, Css
"
"Technology Specialist, Tech Lead",BE /  B.Tech  ( Engineering )  ,"Management Proficiency, Planning/Organizing, Training/Mentoring,
c++ with Object Oriented Programming ( OOPS ) Concepts, STL, Multithreading and IPC., mysis, Summit
"
